Name	Set	ImageFile	Fuerza	Coste	Raza	Tipo	Frecuencia	Habilidad
Totem del Olvido	MundoGotico	MGO-046-126-TotemdelOlvido	--	3	--	Totem	Cortesano	Descarta una carta de tu mano y genera dos Oro (una vez por turno).
Totem de la Desesperanza	MundoGotico	MGO-047-126-TotemdelaDesesperanza	--	1	--	Totem	Cortesano	Paga 3 de Oro y tu oponente se descarta de una carta de su mano (una vez por turno).
Totem Ultimo	MundoGotico	MGO-048-126-TotemUltimo	--	3	--	Totem	Vasallo	Paga un oro y anula la habilidad de todas las armas en juego (una vez por turno).
Totem de Fuego	MundoGotico	MGO-049-126-TotemdeFuego	--	3	--	Totem	Vasallo	Paga un oro y destruye un arma oponente (una vez por turno).
Totem de Vitalidad	MundoGotico	MGO-050-126-TotemdeVitalidad	--	2	--	Totem	Vasallo	Tus aliados ganan +1 de fuerza cuando defienden.
Knochen	MundoGotico	MGO-051-126-Knochen	5	5	--	Aliado	Real	Puede bloquear a mas de un aliado oponente hasta acabar su fuerza.
Dragon de Sombra	MundoGotico	MGO-052-126-DragondeSombra	2	3	--	Aliado	Vasallo	Si ataca y hace dano a un castillo, destruye un Totem a eleccion.
Magnus	MundoGotico	MGO-053-126-Magnus	1	1	--	Aliado	Vasallo	--
Lupo	MundoGotico	MGO-054-126-Lupo	1	2	Licantropo	Aliado	Vasallo	--
Licantropo	MundoGotico	MGO-055-126-Licantropo	2	3	Licantropo	Aliado	Vasallo	--
Jauria	MundoGotico	MGO-056-126-Jauria	3	4	Licantropo	Aliado	Cortesano	Cuando entra en juego puedes buscar una carta de licantropo en tu mazo y ponerla en tu mano.
Guevadan	MundoGotico	MGO-057-126-Guevadan	3	5	Licantropo	Aliado	Cortesano	Destruye un licantropo que controles y gana +1 de fuerza.
Golem	MundoGotico	MGO-058-126-Golem	1	2	--	Aliado	Vasallo	--
Golem Sombrio	MundoGotico	MGO-059-126-GolemSombrio	3	4	--	Aliado	Vasallo	--
Espectro	MundoGotico	MGO-060-126-Espectro	2	3	--	Aliado	Vasallo	Cuando entra en juego, puedes ver la siguiente carta de algun mazo.
Zombies	MundoGotico	MGO-061-126-Zombies	1	3	--	Aliado	Vasallo	--
Hechicera	MundoGotico	MGO-062-126-Hechicera	1	3	--	Aliado	Vasallo	--
Campesina	MundoGotico	MGO-063-126-Campesina	1	2	--	Aliado	Vasallo	--
Pastor	MundoGotico	MGO-064-126-Pastor	2	3	--	Aliado	Vasallo	--
Draco	MundoGotico	MGO-065-126-Draco	1	2	--	Aliado	Vasallo	--
Salamandra	MundoGotico	MGO-066-126-Salamandra	2	2	--	Aliado	Vasallo	--
Triton	MundoGotico	MGO-067-126-Triton	1	2	--	Aliado	Vasallo	--
Bestia	MundoGotico	MGO-068-126-Bestia	1	2	--	Aliado	Vasallo	--
Abominacion	MundoGotico	MGO-069-126-Abominacion	2	4	--	Aliado	Vasallo	--
Igor	MundoGotico	MGO-070-126-Igor	2	3	--	Aliado	Vasallo	--
Kain	MundoGotico	MGO-071-126-Kain	4	4	Vampiro	Aliado	Real	Todos los vampiros que controles ganan +1 de fuerza cuando ataquen.
Kasim	MundoGotico	MGO-072-126-Kasim	1	2	Vampiro	Aliado	Cortesano	Puede atacar el turno en que es puesto en juego.
Conde Shatten	MundoGotico	MGO-073-126-CondeShatten	2	3	Vampiro	Aliado	Cortesano	Paga uno de Oro y un aliado oponente a tu eleccion, debe atacar el proximo turno.
Ekimmu	MundoGotico	MGO-074-126-Ekimmu	3	3	Vampiro	Aliado	Vasallo	Si algun turno ataca o bloquea, destruyelo al final de ese turno.
Strix	MundoGotico	MGO-075-126-Strix	2	2	Vampiro	Aliado	Vasallo	Si ataca, debe ser acompanado por un aliado
Hiedra Espino	MundoGotico	MGO-076-126-HiedraEspino	1	3	Vampiro	Aliado	Cortesano	Si es destruido en combate, el oponente se descarta de una carta de su mano.
Ryurik	MundoGotico	MGO-077-126-Ryurik	1	4	Vampiro	Aliado	Real	Gana +1 de fuerza por cada caballero en juego. No puede ser bloqueado por caballeros.
Falsa Cautiva	MundoGotico	MGO-078-126-FalsaCautiva	2	0	Vampiro	Aliado	Vasallo	Al entrar en juego, destruye una de tus cartas Oro.
Fetiche	MundoGotico	MGO-079-126-Fetiche	0	5	Vampiro	Aliado	Real	Tiene fuerza igual al numero de cartas de oro de tu oponente.
Khan	MundoGotico	MGO-080-126-Khan	1	2	Vampiro	Aliado	Real	Si ataca y hace dano al castillo de tu oponente, puedes buscar una carta de vampiro y ponerla en tu mano.
Lesther	MundoGotico	MGO-081-126-Lesther	2	0	Vampiro	Aliado	Vasallo	Para entrar en juego, descarta 2 cartas de tu mano.
Rasputin	MundoGotico	MGO-082-126-Rasputin	1	2	Vampiro	Aliado	Cortesano	Al atacar, destruye una carta de Oro que controles y gana +1 de fuerza por el turno.
Nosferatu	MundoGotico	MGO-083-126-Nosferatu	1	3	Vampiro	Aliado	Vasallo	Si hace dano al castillo del oponente, este destruye un aliado en juego.
Moiras	MundoGotico	MGO-084-126-Moiras	3	4	Vampiro	Aliado	Vasallo	No puede ser bloqueado por caballeros.
Issler	MundoGotico	MGO-085-126-Issler	0	4	Vampiro	Aliado	Vasallo	Tiene fuerza igual al numero de cartas en la mano de tu oponente.
Xamedhi	MundoGotico	MGO-086-126-Xamedhi	5	4	Vampiro	Aliado	Vasallo	Si ataca, el proximo turno no puede volver a la linea de defensa.
Natasha	MundoGotico	MGO-087-126-Natasha	1	1	Vampiro	Aliado	Vasallo	--
Enjambre	MundoGotico	MGO-088-126-Enjambre	1	2	Vampiro	Aliado	Vasallo	--
Mesalina	MundoGotico	MGO-089-126-Mesalina	2	3	Vampiro	Aliado	Vasallo	--
Lucy	MundoGotico	MGO-090-126-Lucy	1	2	Vampiro	Aliado	Vasallo	--
Monje de Kri-Ling	MundoGotico	MGO-091-126-MonjedeKri-Ling	1	5	Cazador	Aliado	Real	Por cada cazador de vampiros en juego gana +1 de fuerza.
Casandra	MundoGotico	MGO-092-126-Casandra	1	1	Cazador	Aliado	Vasallo	--
Roy	MundoGotico	MGO-093-126-Roy	2	3	Cazador	Aliado	Cortesano	El vampiro que lo bloquea pierde uno de fuerza por el turno.
Silver	MundoGotico	MGO-094-126-Silver	3	1	Cazador	Aliado	Cortesano	Solo puede bloquear.
Krana	MundoGotico	MGO-095-126-Krana	2	3	Cazador	Aliado	Cortesano	Cuando entre en juego tu oponente descarta una carta de su castillo.
Corazon de Leon	MundoGotico	MGO-096-126-CorazondeLeon	2	2	Cazador	Aliado	Cortesano	Cuando ataca este aliado gana +1 a la fuerza.
Tribunal	MundoGotico	MGO-097-126-Tribunal	2	3	Cazador	Aliado	Vasallo	Si ataca y no es bloqueado, gana +1 de fuerza por el turno.
Scarlet	MundoGotico	MGO-098-126-Scarlet	2	4	Cazador	Aliado	Vasallo	Cuando bloquea, duplica su fuerza.
Puritano	MundoGotico	MGO-099-126-Puritano	2	3	Cazador	Aliado	Cortesano	Cuando entra en juego puedes ver la mano de tu oponente.
Selena	MundoGotico	MGO-100-126-Selena	3	3	Cazador	Aliado	Cortesano	Puede bloquear a mas de un aliado oponente hasta agotar su fuerza.
Armstrong	MundoGotico	MGO-101-126-Armstrong	2	3	Cazador	Aliado	Vasallo	--
Niamh	MundoGotico	MGO-102-126-Niamh	1	2	Cazador	Aliado	Vasallo	--
Daphne y Gregor	MundoGotico	MGO-103-126-DaphneyGregor	2	3	Cazador	Aliado	Vasallo	--
Exorcista	MundoGotico	MGO-104-126-Exorcista	1	2	Cazador	Aliado	Vasallo	--
Rugdraige	MundoGotico	MGO-105-126-Rugdraige	2	3	Cazador	Aliado	Vasallo	--
Zara	MundoGotico	MGO-106-126-Zara	1	2	Cazador	Aliado	Vasallo	--
Kemsa	MundoGotico	MGO-107-126-Kemsa	1	2	Cazador	Aliado	Vasallo	--
Karl	MundoGotico	MGO-108-126-Karl	2	3	Cazador	Aliado	Vasallo	Cuando bloquea, cambia su fuerza por su coste.
Linna	MundoGotico	MGO-109-126-Linna	2	1	Cazador	Aliado	Vasallo	--
Emboscada	MundoGotico	MGO-110-126-Emboscada	2	3	Cazador	Aliado	Vasallo	Si ataca y no es bloqueado destruye un Oro de tu oponente.
Bafometh	MundoGotico	MGO-111-126-Bafometh	--	--	--	Oro	Oro	--
Codice	MundoGotico	MGO-112-126-Codice	--	--	--	Oro	Oro	--
Sortija	MundoGotico	MGO-113-126-Sortija	--	--	--	Oro	Oro	--
Rosal Silvestre	MundoGotico	MGO-114-126-RosalSilvestre	--	--	--	Oro	Oro	--
Castillo Sombrio	MundoGotico	MGO-115-126-CastilloSombrio	--	--	--	Oro	Oro	--
Cripta	MundoGotico	MGO-116-126-Cripta	--	--	--	Oro	Oro	--
Agua Sagrada	MundoGotico	MGO-117-126-AguaSagrada	--	--	--	Oro	Oro	--
Raza Nocturna	MundoGotico	MGO-118-126-RazaNocturna	--	--	--	Oro	Oro	--
Corona Imperial	MundoGotico	MGO-119-126-CoronaImperial	--	--	--	Oro	Oro	--
Baculo	MundoGotico	MGO-120-126-Baculo	--	--	--	Oro	Oro	--
Dragon de Rubi	MundoGotico	MGO-121-126-DragondeRubi	--	--	--	Oro	Oro	--
Catedral	MundoGotico	MGO-122-126-Catedral	--	--	--	Oro	Oro	--
Candelabro	MundoGotico	MGO-123-126-Candelabro	--	--	--	Oro	Oro	--
Escudo de Cazador	MundoGotico	MGO-124-126-EscudodeCazador	--	--	--	Oro	Oro	--
Escudo de Vampiro	MundoGotico	MGO-125-126-EscudodeVampiro	--	--	--	Oro	Oro	--
Campanas del Alba	MundoGotico	MGO-126-126-CampanasdelAlba	--	--	--	Oro	Oro	--
Totem de la Penumbra	MundoGoticoX	MGX-127-174-TotemdelaPenumbra	--	2	--	Totem	Vasallo	Jugar un arma cuesta 1 oro mas mientras este totem este en juego.
Totem de Magma	MundoGoticoX	MGX-128-174-TotemdeMagma	--	2	--	Totem	Real	Todos los vampiros en juego ganan +1 de fuerza, mientras este totem este en juego.
Totem Lunar	MundoGoticoX	MGX-129-174-TotemLunar	--	2	--	Totem	Real	Todos los licantropos en juego ganan +1 de fuerza, mientras este totem este en juego.
Totem del Bosque	MundoGoticoX	MGX-130-174-TotemdelBosque	--	2	--	Totem	Cortesano	Jugar cartas de licantropo cuesta un oro menos, mientras este totem este en juego.
Totem Bienaventurado	MundoGoticoX	MGX-131-174-TotemBienaventurado	--	2	--	Totem	Real	A partir del proximo turno puedes bajar un oro extra de tu mano, mientras este totem este en juego.
Totem Magnetico	MundoGoticoX	MGX-132-174-TotemMagnetico	--	3	--	Totem	Cortesano	Todos los aliados que lleven armas no pueden bloquear mientras este totem este en juego.
Totem del Viento	MundoGoticoX	MGX-133-174-TotemdelViento	--	3	--	Totem	Vasallo	Elige un aliado, el y sus copias ganan +1 a la fuerza mientras este totem este en juego.
Totem de Salamandras	MundoGoticoX	MGX-134-174-TotemdeSalamandras	--	4	--	Totem	Cortesano	Antes de atacar, tu oponente debe destruir un aliado que controle mientras este totem este en juego.
Totem de Hierro	MundoGoticoX	MGX-135-174-TotemdeHierro	--	3	--	Totem	Vasallo	Los aliados que lleven armas no pueden atacar mientras este totem este en juego.
Totem Runico	MundoGoticoX	MGX-136-174-TotemRunico	--	3	--	Totem	Vasallo	Tu oponente juega con su mano descubierta mientras este totem este en juego.
Evocacion	MundoGoticoX	MGX-137-174-Evocacion	--	4	--	Talisman	Vasallo	Puedes buscar un aliado en tu castillo y ponerlo en tu linea de defensa. Al final del turno este es destruido.
Espectro de Dragon	MundoGoticoX	MGX-138-174-EspectrodeDragon	--	1	--	Talisman	Real	Descarta 3 cartas de la parte superior del castillo de tu oponente.
Ataque Suicida	MundoGoticoX	MGX-139-174-AtaqueSuicida	--	0	--	Talisman	Real	Despues de atacar ganas otro turno extra. Si no ganas en ese turno, pierdes el juego (carta unica).
Arbol de Justicia	MundoGoticoX	MGX-140-174-ArboldeJusticia	--	4	--	Talisman	Vasallo	Tu oponente descarta de su castillo tantas cartas como tenga en su mano.
Dycom el Recaudador	MundoGoticoX	MGX-141-174-DycomelRecaudador	--	0	--	Talisman	Vasallo	Puedes buscar un oro en tu castillo y ponerlo en tu mano.
Lider de la Jauria	MundoGoticoX	MGX-142-174-LiderdelaJauria	--	3	--	Talisman	Vasallo	Un licantropo gana fuerza igual a su valor solo por el turno.
Piromania	MundoGoticoX	MGX-143-174-Piromania	--	3	--	Talisman	Cortesano	Puedes buscar un talisman en el castillo de tu oponente y botarlo al cementerio junto con todas las copias de esta.
Ermitano	MundoGoticoX	MGX-144-174-Ermitano	--	3	--	Talisman	Cortesano	Solo una vez por juego: nombra un talisman, tu oponente no podra utilizarlo por esta partida.
Fragua	MundoGoticoX	MGX-145-174-Fragua	--	1	--	Talisman	Vasallo	Genera 3 oros virtuales para jugar armas solamente por el turno.
Mecenas	MundoGoticoX	MGX-146-174-Mecenas	--	1	--	Talisman	Cortesano	Solo por este turno genera 2 oros virtuales para poner en juego vampiros.
Trofeo de Guerra	MundoGoticoX	MGX-147-174-TrofeodeGuerra	--	1	--	Talisman	Cortesano	Solo por este turno genera 2 oros virtuales para poner en juego licantropos.
Alas Negras	MundoGoticoX	MGX-148-174-AlasNegras	2	3	Vampiro	Aliado	Vasallo	No puede ser bloqueado. Si no tienes otros vampiros en juego, destruyelo al final del turno.
Salome	MundoGoticoX	MGX-149-174-Salome	3	3	Vampiro	Aliado	Vasallo	Cuando entra en juego destruye un oro de tu oponente.
Dux	MundoGoticoX	MGX-150-174-Dux	2	2	Vampiro	Aliado	Vasallo	No puede ser bloqueado por caballeros.
Vampiro del Desierto	MundoGoticoX	MGX-151-174-VampirodelDesierto	3	2	Vampiro	Aliado	Vasallo	Debe atacar cuando es puesto en juego.
Bestia Acechando	MundoGoticoX	MGX-152-174-BestiaAcechando	2	3	Vampiro	Aliado	Vasallo	Si ataca debe ser bloqueado.
Judy	MundoGoticoX	MGX-153-174-Judy	2	1	Vampiro	Aliado	Vasallo	--
Itazzy	MundoGoticoX	MGX-154-174-Itazzy	0	2	Vampiro	Aliado	Cortesano	Gana +1 de fuerza por cada vampiro en juego.
Jinete de Dragon	MundoGoticoX	MGX-155-174-JinetedeDragon	5	5	Vampiro	Aliado	Vasallo	Puede llevar dor armas.
Rafaceny	MundoGoticoX	MGX-156-174-Rafaceny	--	3	--	Talisman	Vasallo	El total de puntos de ataque de tu oponente se reduce a 4 y no pueden ser bloqueados.
Virna	MundoGoticoX	MGX-157-174-Virna	2	2	Vampiro	Aliado	Vasallo	--
Dinella	MundoGoticoX	MGX-158-174-Dinella	1	1	Vampiro	Aliado	Vasallo	--
Mortus	MundoGoticoX	MGX-159-174-Mortus	1	3	Vampiro	Aliado	Cortesano	Cuando entra en juego puedes buscar 2 oros en tu cementerio y ponerlos en tu mano.
Alimana	MundoGoticoX	MGX-160-174-Alimana	1	1	Vampiro	Aliado	Vasallo	--
Von Krieg	MundoGoticoX	MGX-161-174-VonKrieg	1	2	Vampiro	Aliado	Vasallo	Puede atacar cuando entra en juego.
Dearg Diulai	MundoGoticoX	MGX-162-174-DeargDiulai	0	2	Vampiro	Aliado	Vasallo	Mientras este aliado este en juego, su controlador debe descartarse de una carta de su mano al final de su turno.
Vlad Tepes	MundoGoticoX	MGX-163-174-VladTepes	--	2	--	Talisman	Cortesano	Tus vampiros destruidos en este turno vuelven a la linea de defensa.
Calixto	MundoGoticoX	MGX-164-174-Calixto	1	1	Licantropo	Aliado	Cortesano	Puede llevar un arma pagando 2 menos de oro.
Cachorro	MundoGoticoX	MGX-165-174-Cachorro	1	1	Licantropo	Aliado	Vasallo	--
Titan Licantropo	MundoGoticoX	MGX-166-174-TitanLicantropo	12	10	Licantropo	Aliado	Cortesano	No puede ser bloqueado. Cuando entra en juego bota todas las cartas de tu mano al cementerio.
Brazo Fuerte	MundoGoticoX	MGX-167-174-BrazoFuerte	1	1	Licantropo	Aliado	Vasallo	Puede llevar 2 armas.
Rastreador	MundoGoticoX	MGX-168-174-Rastreador	2	3	Licantropo	Aliado	Vasallo	--
Licantropos Salvajes	MundoGoticoX	MGX-169-174-LicantroposSalvajes	1	2	Licantropo	Aliado	Vasallo	Solo puede ser bloqueado por licantropos.
Guardia del Escudo	MundoGoticoX	MGX-170-174-GuardiadelEscudo	3	1	Licantropo	Aliado	Vasallo	Solo puede bloquear.
Ambroce	MundoGoticoX	MGX-171-174-Ambroce	3	4	Licantropo	Aliado	Vasallo	Si ataca y hace dano al castillo oponente, puedes destruirle un totem a eleccion.
Corot	MundoGoticoX	MGX-172-174-Corot	1	2	Licantropo	Aliado	Vasallo	--
Fribert	MundoGoticoX	MGX-173-174-Fribert	1	3	Licantropo	Aliado	Vasallo	Puedes destruirlo cuando desees; produce oro igual al numero de licantropos que tengas en juego, solo por el turno.
Van Helsing	MundoGoticoX	MGX-174-174-VanHelsing	2	2	Cazador	Aliado	Real	Cuando entra en juego, todos tus demas cazadores ganan +1 de fuerza permanentemente.
Anchancho	LaIradelNahual	IDN-001-126-Anchancho	--	4	--	Talisman	Cortesano	Eliges el Aliado de mayor fuerza de tu oponente y lo pones en su cementerio.
Yanomami	LaIradelNahual	IDN-002-126-Yanomami	--	4	--	Talisman	Cortesano	Destruye un Aliado oponente a tu eleccion.
Auca	LaIradelNahual	IDN-003-126-Auca	--	1	--	Talisman	Cortesano	En el momento que tu oponente juegue un Arma desde su mano, puedes jugar esta carta y mandar a su cementerio dicha Arma.
Toki	LaIradelNahual	IDN-004-126-Toki	--	1	--	Talisman	Cortesano	En el momento que tu oponente juegue un Totem desde su mano, puedes jugar esta carta y mandar a su cementerio dicho Totem.
Flechero	LaIradelNahual	IDN-005-126-Flechero	--	1	--	Talisman	Cortesano	En el momento que tu oponente juegue un Talisman desde su mano, puedes jugar esta carta y mandar a su cementerio dicho Talisman.
Ira del Nahual	LaIradelNahual	IDN-006-126-IradelNahual	--	4	--	Talisman	Real	Todos tus aliados que ataquen son imbloqueables por este turno.
Ix Chebel Yax	LaIradelNahual	IDN-007-126-IxChebelYax	--	2	--	Talisman	Cortesano	Puedes buscar un talisman en tu castillo y ponerlo en tu mano.
Pachamama	LaIradelNahual	IDN-008-126-Pachamama	--	2	--	Talisman	Real	Puedes buscar un aliado en tu castillo y ponerlo en tu mano.
Ix Tabai	LaIradelNahual	IDN-009-126-IxTabai	--	2	--	Talisman	Vasallo	Si en el turno anterior fuiste atacado, tu oponente debera mandar al cementerio a uno de sus Aliados.
Sacrificio Humano	LaIradelNahual	IDN-010-126-SacrificioHumano	--	5	--	Talisman	Real	Por cada aliado en juego, tu oponente debe pagar un oro, si no lo hace debe enviarlo al cementerio.
K' Ak' Na	LaIradelNahual	IDN-011-126-K'Ak'Na	--	4	--	Talisman	Real	El oponente descarta 2 cartas de su mano al cementerio y tu robas la carta superior de tu castillo.
Machitun	LaIradelNahual	IDN-012-126-Machitun	--	2	--	Talisman	Real	Reduce a cero todo el dano hecho por tu oponente en este turno.
Sotz' Na	LaIradelNahual	IDN-013-126-Sotz'Na	--	3	--	Talisman	Real	En el momento que tu oponente juegue un aliado desde su mano, puedes jugar esta carta y botar al cementerio a dicho aliado.
Ix Chel	LaIradelNahual	IDN-014-126-IxChel	--	2	--	Talisman	Vasallo	Un Aliado que elijas no podra ser bloqueado en este turno.
Xochi Yaoyotl	LaIradelNahual	IDN-015-126-XochiYaoyotl	--	4	--	Talisman	Real	Un aliado dobla su fuerza hasta el final del turno.
Ch' Ayin Na	LaIradelNahual	IDN-016-126-Ch'AyinNa	--	4	--	Talisman	Cortesano	Si en tu turno tienes menos de 5 cartas en tu castillo, puedes tomar las 5 cartas superiores de tu cementerio y barajarlas con tu castillo.
Cataratas del Iguazu	LaIradelNahual	IDN-017-126-CataratasdelIguazu	--	4	--	Talisman	Real	Destruye 2 aliados en juego y juega otro turno despues de este.
Revolucion de los Objetos	LaIradelNahual	IDN-018-126-RevoluciondelosObjetos	--	6	--	Talisman	Real	Busca una carta de aliado en el castillo de tu oponente y ponla en juego en tu linea de defensa.
Rito del Dorado	LaIradelNahual	IDN-019-126-RitodelDorado	--	0	--	Talisman	Real	Descartate de 2 cartas y busca dos oros en tu castillo para ponerlos en tu mano.
Reduccion de Cabeza	LaIradelNahual	IDN-020-126-ReducciondeCabeza	--	4	--	Talisman	Vasallo	Si tu oponente tiene todos sus Oros ocupados, destruye uno de ellos enviandolo al cementerio.
Mascara del Sol	LaIradelNahual	IDN-021-126-MascaradelSol	--	3	--	Talisman	Cortesano	Elige un Oro en juego y devuelvelo a la mano de su propietario.
Sacrificio Gladiatorio	LaIradelNahual	IDN-022-126-SacrificioGladiatorio	--	4	--	Talisman	Cortesano	Tu oponente bota de su castillo tantas cartas como Aliados tenga en juego.
Iniciacion Guerrera	LaIradelNahual	IDN-023-126-IniciacionGuerrera	--	3	--	Talisman	Cortesano	Si todos tus Aliados son del mismo tipo, estos ganan +1 de fuerza, hasta el final del turno.
Camaxtle	LaIradelNahual	IDN-024-126-Camaxtle	--	2	--	Talisman	Vasallo	Todos los Aliados que lleven Armas no podran ser bloqueados en este turno.
Tonatiuh	LaIradelNahual	IDN-025-126-Tonatiuh	--	1	--	Talisman	Real	Genera 2 de oro virtuales para Chamanes.
Caceria del Peyolt	LaIradelNahual	IDN-026-126-CaceriadelPeyolt	--	1	--	Talisman	Cortesano	Genera 2 Oros virtuales para Talismanes, Arma o Totem.
Huascar y Atahualpa	LaIradelNahual	IDN-027-126-HuascaryAtahualpa	--	1	--	Talisman	Real	Todos tus aliados defensores no reciben dano en este turno.
Macun	LaIradelNahual	IDN-028-126-Macun	--	2	--	Talisman	Vasallo	Elige un Chaman en tu cementerio y cambialo por uno que este en juego.
Ah Puch	LaIradelNahual	IDN-029-126-AhPuch	--	5	--	Talisman	Cortesano	Destruye todos tus Aliados en juego y pon gratis un Aliado en juego desde tu mano.
Xochiquetzal	LaIradelNahual	IDN-030-126-Xochiquetzal	--	3	--	Talisman	Vasallo	Un Aliado dobla su fuerza por este turno, si esta defendiendo.
Totem de Perro	LaIradelNahual	IDN-031-126-TotemdePerro	--	1	--	Totem	Cortesano	Elige un tipo de Aliado en juego y todos tus Aliados seran de ese tipo.
Totem del Condor	LaIradelNahual	IDN-032-126-TotemdelCondor	--	6	--	Totem	Real	Todos tus aliados son imbloqueables.
Totem de Conejo	LaIradelNahual	IDN-033-126-TotemdeConejo	--	1	--	Totem	Vasallo	Si un Aliado que tengas en juego es destruido, para salvarlo puedes destruir este Totem.
Totem del Aguila	LaIradelNahual	IDN-034-126-TotemdelAguila	--	2	--	Totem	Real	Te cuesta un oro menos jugar Chamanes.
Totem de Guanaco	LaIradelNahual	IDN-035-126-TotemdeGuanaco	--	2	--	Totem	Cortesano	A tu oponente le cuesta un Oro mas jugar sus cartas.
Totem de Cocodrilo	LaIradelNahual	IDN-036-126-TotemdeCocodrilo	--	4	--	Totem	Cortesano	Tu oponente, antes de poner en juego un Oro, debe pagarlo con otro.
Totem del Mono	LaIradelNahual	IDN-037-126-TotemdelMono	--	2	--	Totem	Real	Todos tus aliados pueden llevar un arma extra.
Totem de Jaguar	LaIradelNahual	IDN-038-126-TotemdeJaguar	--	2	--	Totem	Cortesano	Todos tus aliados ganan +1 de fuerza.
Totem del Puma	LaIradelNahual	IDN-039-126-TotemdelPuma	--	3	--	Totem	Real	Ningun jugador puede bajar mas oros. Cualquier jugador puede botar 3 cartas de su castillo para destruir este Totem.
Totem de Serpiente	LaIradelNahual	IDN-040-126-TotemdeSerpiente	--	3	--	Totem	Cortesano	Por cada Aliado que te ataque, tu oponente debera botar una carta de su castillo al final del ataque.
Insignia de Toqui	LaIradelNahual	IDN-041-126-InsigniadeToqui	--	0	--	Arma	Vasallo	Su portador es del tipo que elijas.
Atlatl	LaIradelNahual	IDN-042-126-Atlatl	--	3	--	Arma	Vasallo	Su portador gana +3 a la fuerza y no puede ser bloqueado.
Tepoztopilli	LaIradelNahual	IDN-043-126-Tepoztopilli	--	3	--	Arma	Vasallo	Su portador puede bloquear cartas imbloqueables.
Boleadoras	LaIradelNahual	IDN-044-126-Boleadoras	--	2	--	Arma	Vasallo	Su portador puede bloquear a mas de un Aliado oponente.
Cerbatana	LaIradelNahual	IDN-045-126-Cerbatana	--	2	--	Arma	Cortesano	Si su portador es bloqueado tu oponente se descarta de todas las cartas de su mano.
Honda	LaIradelNahual	IDN-046-126-Honda	--	2	--	Arma	Vasallo	Su portador gana +1 de fuerza y no puede ser bloqueado.
Macahuitl	LaIradelNahual	IDN-047-126-Macahuitl	--	2	--	Arma	Vasallo	Siempre que este Aliado haga dano al castillo oponente, puedes buscar una carta de Oro en tu castillo y ponerlo en juego.
Maza	LaIradelNahual	IDN-048-126-Maza	--	2	--	Arma	Vasallo	Siempre que este Aliado haga dano a un castillo, toma una carta al azar de la mano de tu oponente y mandala al cementerio.
Arco y Flechas	LaIradelNahual	IDN-049-126-ArcoyFlechas	--	3	--	Arma	Cortesano	Este Aliado gana fuerza igual al numero de Oros que tengas en juego.
Tecpatl	LaIradelNahual	IDN-050-126-Tecpatl	--	2	--	Arma	Cortesano	El Aliado portador de esta Arma es imbloqueable.
Cueva de Quicavi	LaIradelNahual	IDN-051-126-CuevadeQuicavi	2	3	Chaman	Aliado	Vasallo	Si es destruido, todos tus Aliados en juego ganan +1 de fuerza permanentemente.
Huitzil	LaIradelNahual	IDN-052-126-Huitzil	2	3	Chaman	Aliado	Cortesano	Una vez por turno paga uno de Oro y destruye un Aliado que tenga fuerza 1 o menos.
Machi	LaIradelNahual	IDN-053-126-Machi	1	3	Chaman	Aliado	Cortesano	Paga uno de Oro y un Aliado oponente tiene fuerza cero hasta el final del turno.
Inca Yupanqui	LaIradelNahual	IDN-054-126-IncaYupanqui	1	1	Chaman	Aliado	Real	Por cada Totem que este bajo tu control este Chaman gana +1 de fuerza.
Tacan	LaIradelNahual	IDN-055-126-Tacan	1	1	Chaman	Aliado	Vasallo	Si es destruido, los otros Chamanes que controles ganan +1 de fuerza permanentemente.
Pahuahtun	LaIradelNahual	IDN-056-126-Pahuahtun	2	0	Chaman	Aliado	Cortesano	Para que entre en juego debes descartarte de una carta de tu mano (Imbloqueable).
Itzam Na	LaIradelNahual	IDN-057-126-ItzamNa	2	3	Chaman	Aliado	Cortesano	Puedes bloquear cartas imbloqueables.
Nanahuatzin	LaIradelNahual	IDN-058-126-Nanahuatzin	4	1	Chaman	Aliado	Real	Para entrar en juego bota al cementerio dos cartas de tu castillo. (Imbloqueable. Carta unica)
Kenos	LaIradelNahual	IDN-059-126-Kenos	1	1	Chaman	Aliado	Vasallo	Puedes destruirlo cuando quieras y un Aliado oponente tendra fuerza 0 hasta el final del turno.
Cin Teotl	LaIradelNahual	IDN-060-126-CinTeotl	2	2	Chaman	Aliado	Vasallo	Si bloquea gana +1 de fuerza hasta el final del turno.
Wiraqocha	LaIradelNahual	IDN-061-126-Wiraqocha	1	2	Chaman	Aliado	Cortesano	Si ataca y hace dano al castillo oponente puedes buscar un Chaman en tu castillo y ponerlo en tu mano.
Huehue Teotl	LaIradelNahual	IDN-062-126-HuehueTeotl	2	3	Chaman	Aliado	Cortesano	Por cada Chaman que tengas en juego este Chaman gana +1 de fuerza.
Kalku	LaIradelNahual	IDN-063-126-Kalku	3	6	Chaman	Aliado	Real	Cuando entra en juego tu oponente bota 3 cartas de su castillo.
Runa Urutrungu	LaIradelNahual	IDN-064-126-RunaUrutrungu	2	4	Chaman	Aliado	Real	Cuando entra en juego puedes buscar un Totem y ponerlo en juego.
Apu Illa	LaIradelNahual	IDN-065-126-ApuIlla	1	3	Chaman	Aliado	Cortesano	Puede llevar un Arma gratis.
